OTU_ID,Pathogen
OTU_206_Halomonas_desiderata,No
OTU_1186_Helicobacter_fennelliae,Yes
OTU_1308_Helicobacter_mastomyrinus,No
OTU_979_Herbaspirillum_autotrophicum,No
OTU_340_Herbaspirillum_seropedicae,No
OTU_291_Herbiconiux_ginsengi,No
OTU_54_Hippea_maritima,No
OTU_724_Hippea_maritima,No
OTU_966_Holophaga_foetida,No
OTU_357_Hydrogenispora_ethanolica,No
OTU_1786_Hymenobacter_antarcticus,No
OTU_1785_Hymenobacter_arizonensis,No
OTU_1182_Hymenobacter_ginsengisoli,No
OTU_1508_Hymenobacter_ginsengisoli,No
OTU_1515_Hymenobacter_ginsengisoli,No
OTU_2130_Hymenobacter_ginsengisoli,No
OTU_677_Hymenobacter_ginsengisoli,No
OTU_1191_Hymenobacter_metalli,No
OTU_1249_Hymenobacter_metalli,No
OTU_184_Hymenobacter_metalli,No
OTU_1936_Hymenobacter_metalli,No
OTU_1993_Hymenobacter_metalli,No
OTU_209_Hymenobacter_metalli,No
OTU_2237_Hymenobacter_metalli,No
OTU_678_Hymenobacter_metalli,No
OTU_530_Hymenobacter_norwichensis,No
OTU_1400_Hymenobacter_soli,No
OTU_1519_Hymenobacter_soli,No
OTU_1990_Hymenobacter_soli,No
OTU_200_Hymenobacter_soli,No
OTU_750_Hymenobacter_soli,No
OTU_866_Hymenobacter_soli,No
OTU_1523_Hyphomicrobium_vulgare,No
OTU_1532_Iamia_majanohamensis,No
OTU_1845_Iamia_majanohamensis,No
OTU_1065_Ideonella_dechloratans,No
OTU_1619_Ilumatobacter_fluminis,No
OTU_352_Inquilinus_limosus,Yes
OTU_2117_Insolitispirillum_peregrinum,No
OTU_1083_Intestinibacter_bartlettii,No
OTU_1085_Intestinibacter_bartlettii,No
OTU_1352_Isosphaera_pallida,No
OTU_104_Janthinobacterium_lividum,Yes
OTU_1038_Jatrophihabitans_endophyticus,Yes
OTU_1125_Jatrophihabitans_endophyticus,Yes
OTU_2167_Jatrophihabitans_endophyticus,Yes
OTU_232_Jatrophihabitans_endophyticus,Yes
OTU_370_Jatrophihabitans_endophyticus,Yes
OTU_682_Jatrophihabitans_endophyticus,Yes
OTU_1985_Jeotgalicoccus_huakuii,No
OTU_937_Keratinibaculum_paraultunense,No
OTU_234_Kineococcus_endophyticus,No
OTU_991_Kineococcus_glutinatus,No
OTU_1827_Kineococcus_radiotolerans,No
OTU_2103_Kineosporia_rhamnosa,No
OTU_297_Kineosporia_rhamnosa,No
OTU_566_Kocuria_atrinae,No
OTU_702_Labilithrix_luteola,No
OTU_830_Labrys_wisconsinensis,No
OTU_1338_Lactobacillus_shenzhenensis,No
OTU_630_Lapillicoccus_jejuensis,No
OTU_828_Lapillicoccus_jejuensis,No
OTU_1262_Lautropia_mirabilis,No
OTU_1151_Legionella_hackeliae,Yes
OTU_518_Legionella_hackeliae,Yes
OTU_763_Legionella_hackeliae,Yes
OTU_1254_Legionella_impletisoli,No
OTU_1020_Legionella_pneumophila,Yes
OTU_1034_Legionella_pneumophila,Yes
OTU_936_Legionella_pneumophila,Yes
OTU_1310_Legionella_shakespearei,No
OTU_355_Legionella_taurinensis,No
OTU_1263_Legionella_tunisiensis,Yes
OTU_1766_Leptothrix_cholodnii,No
OTU_791_Leptotrichia_goodfellowii,No
OTU_1779_Leptotrichia_hongkongensis,No
OTU_164_Loriellopsis_cavernicola,No
OTU_788_Luedemannella_flava,No
OTU_1514_Luteibacter_rhizovicinus,No
OTU_29_Luteibacter_rhizovicinus,No
OTU_1692_Luteolibacter_luojiensis,No
OTU_1894_Luteolibacter_pohnpeiensis,No
OTU_217_Luteolibacter_pohnpeiensis,No
OTU_462_Luteolibacter_pohnpeiensis,No
OTU_657_Lutibacterium_anuloederans,No
OTU_956_Lysobacter_daejeonensis,No
OTU_1199_Lysobacter_dokdonensis,No
OTU_89_Lysobacter_panaciterrae,No
OTU_1363_Macrococcus_bovicus,No
OTU_1610_Macrococcus_bovicus,No
OTU_1913_Macrococcus_carouselicus,No
OTU_1120_Macrococcus_caseolyticus,No
OTU_676_Marisediminicola_antarctica,No
OTU_147_Marmoricola_aequoreus,No
OTU_1342_Marmoricola_korecus,No
OTU_628_Marmoricola_korecus,No
OTU_559_Massilia_albidiflava,No
OTU_204_Massilia_aurea,No
OTU_1070_Massilia_brevitalea,No
OTU_295_Massilia_haematophila,Yes
OTU_2290_Massilia_lutea,No
OTU_128_Massilia_namucuonensis,No
OTU_661_Massilia_tieshanensis,No
OTU_1709_Mesorhizobium_loti,No
OTU_154_Mesorhizobium_tamadayense,No
OTU_1212_Methylibium_petroleiphilum,No
OTU_2293_Methylibium_petroleiphilum,No
OTU_38_Methylibium_petroleiphilum,No
OTU_446_Methylobacterium_adhaesivum,No
OTU_93_Methylobacterium_aquaticum,No
OTU_1027_Methylobacterium_brachiatum,No
OTU_2246_Methylobacterium_brachythecii,No
OTU_1349_Methylobacterium_cerastii,No
OTU_1382_Methylobacterium_cerastii,No
OTU_21_Methylobacterium_cerastii,No
OTU_949_Methylobacterium_cerastii,No
OTU_1861_Methylobacterium_goesingense,No
OTU_2288_Methylobacterium_goesingense,No
OTU_2289_Methylobacterium_goesingense,No
OTU_23_Methylobacterium_goesingense,No
OTU_411_Methylobacterium_haplocladii,No
OTU_150_Methylobacterium_iners,No
OTU_2065_Methylobacterium_komagatae,No
OTU_2172_Methylobacterium_komagatae,No
OTU_1703_Methylobacterium_longum,No
OTU_1181_Methylobacterium_marchantiae,No
OTU_1188_Methylobacterium_marchantiae,No
OTU_233_Methylobacterium_marchantiae,No
OTU_1918_Methylobacterium_mesophilicum,Yes
OTU_1988_Methylobacterium_mesophilicum,Yes
OTU_33_Methylobacterium_mesophilicum,Yes
OTU_183_Methylobacterium_radiotolerans,Yes
OTU_1043_Methylobacterium_tardum,No
OTU_1179_Methylobacterium_thuringiense,No
OTU_626_Methylocella_silvestris,No
OTU_1041_Methylocella_tundrae,No
OTU_1194_Methylococcus_capsulatus,No
OTU_1690_Methylocystis_bryophila,No
OTU_1028_Methylocystis_heyeri,No
OTU_1040_Methylocystis_heyeri,No
OTU_957_Methylocystis_heyeri,No
OTU_970_Methylocystis_heyeri,No
OTU_1018_Methylophaga_nitratireducenticrescens,No
OTU_1203_Methylorosula_polaris,No
OTU_1702_Methylorosula_polaris,No
OTU_1999_Methylorosula_polaris,No
OTU_283_Methylorosula_polaris,No
OTU_1180_Methylosinus_sporium,No
OTU_1968_Microbacterium_arborescens,No
OTU_123_Microbacterium_flavescens,No
OTU_475_Microbacterium_phyllosphaerae,No
OTU_148_Microbacterium_sediminis,No
OTU_1056_Microcystis_aeruginosa,No
